梅州市人民医院卫生保洁服务采购项目中标结果调整公告 | 2020.02.27 | 梅州市人民医院 | 梅州市公共资源交易中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933728.htm
阳谷县石佛镇人民政府山东阳谷智能制造-3D打印中心项目中标公告 | 2020.02.27 | 阳谷县石佛镇人民政府,阳谷县石佛镇人民政府,阳谷县石佛镇人民政府,阳谷县石佛镇人民政府 | 阳谷金罡建筑招标咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933593.htm
淄川区政府投资工程建设中心房建项目咨询和设计全过程跟踪采购中标公告 | 2020.02.27 | 淄川区政府投资工程建设中心 | 中技兴安工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933584.htm
32292部队副食品采购中标公告 | 2020.02.27 | 32292部队 | 牡丹江源隆招投标代理有限公司中标公告 | 黑龙江 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933607.htm
惠来县葵潭镇人民政府揭阳龙江河省考断面新圩桥水质自动监测站工程成交公告 | 2020.02.27 | 惠来县葵潭镇人民政府 | 广东启正招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933534.htm
福建教育电视台高清改造（高清播控系统）采购项目结果公告(包1) | 2020.02.27 | 福建教育电视台 | 福建省中达招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933447.htm
深圳市福田区文化广电旅游体育局深圳市第十届运动会福田区代表团团服采购中标公告 | 2020.02.27 | 深圳市福田区文化广电旅游体育局 | 深圳高星项目管理有限公司中标公告 | 广东 | 货物/纺织原料、毛皮、被服装具/被服装具/被服/普通服装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933439.htm
昆明市宜良至石林高速公路建设项目地下水环境影响评价技术服务及突发环境事件应急预案编制咨询服务（二次）评审结果公示 | 2020.02.27 | 昆明宜石高速公路开发有限公司 | 云南盛发工程建设招标造价咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933357.htm
福清市人民政府石竹街道办事处福清市石竹农贸市场经营管理权租赁招标项目中标公告 | 2020.02.27 | 福清市人民政府石竹街道办事处 | 福建百益鑫招标代理有限公司中标公告 | 福建 | 服务/租赁服务（不带操作员）/其他租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933407.htm
福州市晋安区人民检察院检察工作网综合布线项目货物类采购项目结果公告(包1) | 2020.02.27 | 福州市晋安区人民检察院 | 福建省博益招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933328.htm
高密市信息进村入户工程项目中标公告 | 2020.02.27 | 高密市农业农村局 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933315.htm
泾源县农业农村局泾源县2020年青贮玉米种子政府采购项目二次招标中标公告 | 2020.02.27 | 泾源县农业农村局 | 宁夏永明招标代理有限公司中标公告 | 宁夏 | 货物/医药品/中药饮片/植物类饮片/果实、种子类饮片 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933302.htm
深圳市宝安区沙井街道办事处购买森林巡防服务中标公告 | 2020.02.27 | 深圳市宝安区沙井街道办事处 | 广州高新工程顾问有限公司中标公告 | 广东 | 货物/纺织原料、毛皮、被服装具/被服装具/被服/普通服装 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933342.htm
深圳市宝安区福海街道市政建设工程事务中心福海住宅区垃圾分类定时定点督导服务采购中标公告 | 2020.02.27 | 深圳市宝安区福海街道市政建设工程事务中心 | 广州高新工程顾问有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933320.htm
淄博市临淄区智能化改造项目示范标准及效果评估采购项目中标公告 | 2020.02.27 | 淄博市临淄区工业和信息化局 | 山东中汉工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200227_13933256.htm
