东营市渤海综合治理攻坚战生态修复项目（修复服务）中标公告 | 2020.03.02 | 东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局,东营市海洋发展和渔业局 | 山东新联谊工程造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949990.htm
嘉祥县公安局兖兰路所安防工程中标公告 | 2020.03.02 | 嘉祥县公安局 | 山东鲁顺造价咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949893.htm
海口市发展和改革委员会-海口市“十四五”规划纲要编制-中标公告 | 2020.03.02 | 海口市发展和改革委员会 | 海南万缘招标代理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949855.htm
北京市密云区应急管理局密云区应急管理局新办公地址维修改造工程中标公告 | 2020.03.02 | 北京市密云区应急管理局 | 北京信苑工程咨询有限责任公司中标公告 | 北京 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949679.htm
鹤岗市向阳区人民政府鹤岗城市记忆馆雕塑基础广场修缮及室内地面工程中标公告 | 2020.03.02 | 鹤岗市向阳区人民政府 | 黑龙江同舟工程管理咨询服务有限公司中标公告 | 黑龙江 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949664.htm
广饶县城市节水专项规划编制项目中标公告 | 2020.03.02 | 广饶县综合行政执法局 | 海逸恒安项目管理有限公司东营分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949665.htm
沂南县铜井镇金桥村美丽乡村综合提升工程建设项目及沂南县铜井镇大张庄村猕猴桃园建设项目中标公告 | 2020.03.02 | 沂南县铜井镇人民政府,沂南县铜井镇人民政府 | 金中证项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949598.htm
云浮市云安区六都镇人民政府2019年度云浮市云安区六都镇佛水村委五星经济合作社、江墩经济合作社农村建设用地拆旧复垦项目的中标、成交公告 | 2020.03.02 | 云浮市云安区六都镇人民政府 | 云浮鼎建项目管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949552.htm
化州市第六中学学生宿舍热水租赁服务项目（采购编号：ZC20H03N0091）的成交公告 | 2020.03.02 | 化州市第六中学 | 茂名市众诚招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949542.htm
固原市中医医院医疗设备采购项目中标公告 | 2020.03.02 | 固原市中医医院 | 甘肃省招标中心有限公司中标公告 | 宁夏 | 货物/专用设备/医疗设备/医用超声波仪器及设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949531.htm
陵水黎族自治县英州镇人民政府-英州镇“两违”图斑拆除服务项目-中标公告 | 2020.03.02 | 陵水黎族自治县英州镇人民政府 | 海南中建项目管理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202003/t20200302_13949511.htm
